step,reward,loss,rev_kl,grad_norm,off_pol,tps
1,0.0586,-0.5411,1.327,83.531,2.9874,397
2,0.5205,-0.4938,0.4898,22.703,0.19,431
3,0.3458,-0.3551,0.3407,9.449,0.0193,474
4,0.3612,-0.4489,0.3757,13.781,0.0308,488
5,0.7551,-0.5524,0.4102,19.219,0.0554,360
6,0.6888,-0.6094,0.4166,13.273,0.0303,323
7,0.4978,-0.6029,0.4859,11.426,0.0048,426
8,0.5229,-0.7874,0.5259,13.695,0.0068,464
9,0.6315,-0.571,0.336,11.578,0.0079,449
10,0.6118,-0.7648,0.4146,16.586,0.0419,457
11,0.7648,-0.5804,0.2951,14.336,0.0097,434
12,0.6737,-0.6268,0.3261,12.219,0.007,472
13,0.8129,-0.4255,0.2178,11.121,0.0074,423
14,0.7952,-0.5798,0.229,12.836,0.0065,390
15,0.7477,-0.4703,0.1909,10.652,0.0055,353
16,0.5615,-0.8218,0.3383,17.656,0.0131,345
17,0.5948,-0.662,0.2557,14.172,0.0169,497
18,0.5621,-0.8343,0.307,13.148,0.0156,446
19,0.6678,-0.9543,0.27,13.523,0.0131,336
20,0.4777,-1.5523,0.4119,16.859,0.0302,402
21,0.4822,-1.9991,0.3861,19.359,0.0779,391
22,0.5001,-2.3328,0.6126,18.102,0.0326,462
23,0.496,-3.558,0.6544,19.977,0.0108,336
24,0.4661,-3.703,0.7346,21.516,0.0154,312
25,0.4721,-2.6288,0.5038,18.648,0.011,342
26,0.468,-3.0369,0.5733,16.625,0.0065,288
27,0.4846,-3.5791,0.6323,18.125,0.0093,542
28,0.504,-3.3815,0.5327,20.234,0.0112,433
29,0.4765,-2.7032,0.5177,15.336,0.0034,324
30,0.4804,-3.1382,0.555,16.32,0.0045,422
31,0.488,-3.152,0.545,15.797,0.0057,263
32,0.4999,-3.0288,0.5212,17.68,0.0091,513
33,0.4962,-2.8191,0.4683,14.875,0.005,477
34,0.4786,-2.9938,0.5407,17.234,0.0052,443
35,0.5022,-3.1235,0.4946,14.977,0.002,404
36,0.5019,-3.3634,0.5297,16.438,0.0022,330
37,0.4879,-3.3751,0.6192,14.516,0.0125,297
38,0.502,-2.7809,0.4485,13.117,0.0069,457
39,0.51,-3.3841,0.5373,16.969,0.0027,419
40,0.5134,-3.1048,0.5858,18.406,0.0014,400
41,0.4939,-2.6452,0.4115,14.484,0.0013,331
42,0.476,-3.3966,0.5739,16.656,0.004,298
43,0.4801,-3.5507,0.6069,14.828,0.0007,348
44,0.4698,-3.177,0.5244,13.945,0.0019,372
45,0.4918,-3.7647,0.606,15.164,0.0039,399
46,0.4941,-3.6494,0.5743,16.742,0.0077,411
47,0.502,-4.0027,0.6212,14.273,0.0037,348
48,0.4659,-3.4262,0.4857,16.008,0.0058,450
49,0.508,-2.5483,0.4754,20.344,0.0098,421
50,0.4941,-3.0355,0.5283,15.258,0.0029,402
51,0.504,-3.7898,0.6092,16.445,0.0015,491
52,0.4898,-3.1146,0.4823,14.297,0.0018,331
53,0.498,-3.3206,0.5434,18.086,0.01,369
54,0.51,-3.0287,0.4887,14.117,0.0189,441
55,0.508,-3.9957,0.6643,18.641,0.0061,479
56,0.5001,-3.4576,0.5715,18.695,0.0201,349
57,0.508,-3.0991,0.4628,15.594,0.0143,385
58,0.484,-3.3773,0.5337,15.32,0.0243,328
59,0.4999,-2.8296,0.4307,12.758,0.0073,364
60,0.4981,-3.244,0.5117,14.719,0.002,379
61,0.478,-2.5053,0.4188,13.781,0.0341,274
62,0.5255,-2.2659,0.3331,12.09,0.0068,425
63,0.4861,-2.5705,0.4204,12.719,0.0056,421
64,0.5079,-3.2622,0.5451,15.492,0.0039,342
65,0.5001,-3.1857,0.5704,15.781,0.0105,408
66,0.5214,-2.9502,0.4758,14.094,0.0075,350
67,0.488,-1.9102,0.2997,10.766,0.0044,317
68,0.4861,-2.336,0.393,13.25,0.0126,312
69,0.51,-2.6721,0.4025,13.531,0.0138,486
70,0.496,-4.0702,0.5903,15.258,0.0074,448
71,0.4921,-3.3077,0.5165,14.547,0.0011,372
72,0.496,-2.746,0.4111,12.148,0.0043,279
73,0.4939,-2.8296,0.4417,13.117,0.0043,355
74,0.5079,-4.5556,0.6871,17.562,0.0055,551
75,0.508,-3.1125,0.4562,18.539,0.0133,522
76,0.51,-2.6382,0.3998,12.445,0.0041,552
77,0.5001,-2.9586,0.4792,13.75,0.0018,376
78,0.5079,-3.6984,0.5754,15.641,0.0072,389
79,0.5079,-3.5365,0.5174,15.75,0.001,511
80,0.49,-2.2754,0.3891,12.406,0.0023,409
81,0.5079,-3.2024,0.5123,16.086,0.0083,394
82,0.4999,-3.4629,0.5408,16.633,0.0132,380
