step,reward,loss,rev_kl,grad_norm,off_pol,tps
1,0.0218,-0.7521,1.1023,74.688,1.4675,468
2,0.47,-0.8752,0.6706,51.102,0.4083,389
3,0.4778,-0.5236,0.498,19.758,0.0513,386
4,0.3871,-0.5463,0.407,19.688,0.0523,371
5,0.4543,-0.5919,0.4652,15.734,0.0818,393
6,0.3263,-0.3206,0.4567,18.422,0.239,686
7,0.4874,-1.2981,0.9949,39.312,0.3566,386
8,0.2377,-2.1058,1.5096,84.188,0.4629,281
9,0.0843,-2.7703,1.7413,148.938,2.9902,349
10,0.5744,-1.2474,0.6839,31.25,0.1063,320
11,0.6338,-0.9255,0.4744,19.883,0.0156,509
12,0.802,-0.7951,0.4116,18.219,0.0149,500
13,0.7012,-0.5672,0.2385,13.0,0.0135,371
14,0.742,-0.7234,0.3685,13.469,0.0053,442
15,0.5545,-0.8239,0.3679,19.297,0.0519,521
16,0.8174,-0.86,0.3012,14.273,0.0073,509
17,0.7805,-0.7417,0.2826,13.789,0.0072,467
18,0.5564,-1.3885,0.4773,19.477,0.0287,507
19,0.5812,-1.1223,0.2748,13.32,0.0325,502
20,0.5017,-1.9045,0.4624,17.602,0.0202,290
21,0.51,-2.9643,0.6414,21.125,0.0286,538
22,0.5059,-3.0999,0.5761,21.656,0.0089,327
23,0.508,-4.8767,0.8045,27.344,0.0279,489
24,0.51,-4.4388,0.7239,22.844,0.0368,558
25,0.5059,-4.5514,0.7942,19.07,0.0074,413
26,0.502,-4.4959,0.8143,23.188,0.0033,496
27,0.508,-4.0801,0.6767,20.438,0.002,553
28,0.5216,-3.9515,0.7507,22.953,0.0015,484
29,0.484,-3.1095,0.5836,16.18,0.0061,414
30,0.504,-3.6613,0.6845,17.766,0.0093,450
31,0.488,-3.5653,0.6446,17.367,0.0053,354
32,0.4858,-4.4238,0.7712,20.719,0.0035,482
33,0.4859,-4.2904,0.7286,19.234,0.0035,476
34,0.508,-4.1919,0.6821,20.453,0.025,538
35,0.5061,-4.34,0.7179,16.93,0.0023,542
36,0.472,-3.9949,0.6836,18.992,0.003,445
37,0.508,-3.6783,0.5734,15.82,0.008,512
38,0.5196,-3.3631,0.5346,17.242,0.0077,408
39,0.5059,-3.5959,0.5681,16.438,0.0113,497
40,0.5061,-3.7641,0.5902,17.734,0.0045,532
41,0.5022,-2.7574,0.4541,15.453,0.0021,519
42,0.5001,-2.782,0.4904,15.328,0.0071,320
43,0.5061,-3.5435,0.593,19.906,0.0156,494
44,0.498,-4.2592,0.6839,16.734,0.0015,380
45,0.51,-3.3383,0.5213,14.93,0.0059,479
46,0.5061,-2.7986,0.4478,14.797,0.0034,399
47,0.4859,-4.0654,0.6867,18.633,0.0214,297
48,0.51,-3.9133,0.6697,22.516,0.0286,393
49,0.508,-2.8236,0.4776,18.086,0.0105,518
50,0.478,-3.9643,0.642,17.914,0.0114,316
51,0.508,-4.5454,0.7297,18.828,0.0021,334
52,0.5061,-2.7611,0.4759,14.992,0.0056,511
53,0.51,-2.6796,0.3953,15.43,0.0051,465
54,0.51,-2.4122,0.4576,16.312,0.0291,419
55,0.502,-3.3906,0.554,16.18,0.0036,389
56,0.498,-4.5171,0.6907,18.688,0.0061,410
57,0.5061,-3.9915,0.657,16.266,0.0042,384
58,0.5175,-3.1319,0.5325,19.328,0.004,344
59,0.502,-3.927,0.5939,16.484,0.0326,467
60,0.504,-3.6725,0.5864,17.164,0.0062,351
61,0.5019,-2.3915,0.3996,13.961,0.0026,362
62,0.498,-3.3513,0.5404,13.844,0.0139,319
63,0.504,-2.8228,0.4561,15.914,0.0027,389
64,0.533,-2.3705,0.4141,14.164,0.0048,359
65,0.5195,-2.3005,0.3694,14.938,0.0059,351
66,0.5098,-4.317,0.6518,18.727,0.0065,544
67,0.502,-3.352,0.5133,15.703,0.0125,369
68,0.4962,-3.2651,0.5313,14.688,0.0014,441
69,0.51,-2.9025,0.4505,15.57,0.0227,493
70,0.5175,-3.6525,0.5699,17.641,0.0045,499
71,0.502,-2.7124,0.4258,13.594,0.0033,334
72,0.508,-4.0235,0.6757,20.023,0.0528,387
73,0.5079,-4.3825,0.6633,18.391,0.0029,512
74,0.498,-4.5129,0.7157,21.141,0.004,414
75,0.51,-3.7854,0.5646,15.82,0.0047,435
76,0.51,-4.3905,0.6274,17.273,0.0019,501
77,0.51,-4.2975,0.6634,17.789,0.0044,593
78,0.508,-2.8759,0.4633,17.484,0.004,388
79,0.502,-4.0275,0.6054,16.586,0.0019,474
80,0.5079,-3.5268,0.5427,15.055,0.0061,364
81,0.504,-3.8728,0.5719,16.867,0.006,426
82,0.51,-3.3237,0.5153,15.258,0.0077,509
83,0.4941,-3.5475,0.5486,15.016,0.0224,286
84,0.5234,-3.1534,0.5128,17.18,0.0058,436
85,0.5195,-2.7841,0.4395,14.719,0.0036,335
86,0.5134,-3.7535,0.579,17.328,0.0116,375
87,0.5079,-3.3829,0.53,16.906,0.0148,435
88,0.5255,-3.4882,0.5295,15.5,0.005,336
89,0.504,-4.3309,0.6342,18.852,0.0044,535
90,0.5041,-3.9173,0.6404,23.164,0.0118,535
91,0.5079,-4.7325,0.6897,19.328,0.0113,487
92,0.504,-3.9937,0.5686,18.305,0.0173,317
93,0.5409,-4.4696,0.6475,26.844,0.0062,413
94,0.51,-3.12,0.4834,15.711,0.0126,409
95,0.4941,-3.9354,0.6229,18.148,0.0094,394
96,0.51,-3.5287,0.5224,16.375,0.0024,475
97,0.4978,-4.3803,0.6983,16.727,0.0423,337
98,0.5061,-3.6252,0.5586,18.336,0.0094,523
99,0.502,-4.5774,0.7108,20.43,0.0083,428
100,0.4859,-4.0232,0.6021,16.125,0.0056,297
101,0.5172,-2.7532,0.4223,15.547,0.0175,365
