step,reward,loss,rev_kl,grad_norm,off_pol,tps
1,0.0218,-0.0037,0.3525,25.914,0.9193,461
2,0.1656,-2.4521,1.498,189.188,5.8945,139
3,0.6847,-0.2672,0.2064,17.594,0.0996,357
4,0.6981,-0.2497,0.1654,14.629,0.0198,267
5,0.6788,-0.1969,0.1629,13.105,0.0506,213
6,0.6568,-0.1946,0.1564,7.416,0.0028,351
7,0.6921,-0.1758,0.1255,8.484,0.0144,261
8,0.7564,-0.1624,0.1304,9.945,0.0039,245
9,0.9485,-0.1476,0.0961,7.617,0.0075,327
10,0.5858,-0.1909,0.1298,10.195,0.0261,422
11,0.6253,-0.154,0.0991,6.168,0.0101,370
12,0.76,-0.2313,0.1153,9.543,0.0447,215
13,0.7295,-0.1839,0.0955,7.145,0.0063,433
14,0.7644,-0.2168,0.1004,6.834,0.0059,348
15,0.5337,-0.2461,0.1033,7.73,0.0036,311
16,0.7049,-0.3396,0.1281,9.219,0.025,360
17,0.6411,-0.355,0.1359,10.785,0.08,364
18,0.5748,-0.2453,0.0812,8.711,0.0163,254
19,0.6235,-0.3868,0.0993,8.863,0.0176,294
20,0.4461,-0.4917,0.1158,8.449,0.0063,253
21,0.5384,-0.4343,0.1134,7.629,0.0157,290
22,0.5138,-0.6649,0.1615,8.953,0.0104,324
23,0.6373,-0.8675,0.1879,10.586,0.0192,349
24,0.492,-1.4408,0.2594,12.211,0.0128,283
25,0.4838,-1.525,0.2718,10.781,0.0214,258
26,0.504,-1.7619,0.3227,11.328,0.0232,334
27,0.4658,-1.3202,0.2095,9.516,0.0038,250
28,0.5151,-1.606,0.2981,11.891,0.0066,448
29,0.5053,-1.5708,0.2921,9.098,0.0021,356
30,0.4819,-1.2544,0.2429,9.301,0.0141,436
31,0.5035,-1.6325,0.2711,10.469,0.005,275
32,0.4659,-1.5243,0.2526,9.414,0.0025,326
33,0.4985,-0.9492,0.1731,7.527,0.0015,280
34,0.4637,-1.4075,0.2256,8.895,0.007,277
35,0.4659,-1.3033,0.2197,7.781,0.0157,223
36,0.4871,-1.4467,0.2277,8.414,0.0033,310
37,0.4858,-1.5784,0.2398,8.695,0.0071,204
38,0.4796,-1.5248,0.2311,9.559,0.004,239
39,0.476,-1.5301,0.2494,11.02,0.0015,311
40,0.4981,-1.9263,0.3154,10.844,0.0012,283
41,0.5034,-1.4589,0.2283,9.953,0.0217,190
42,0.4737,-1.0927,0.1737,8.328,0.0016,229
43,0.484,-2.012,0.3128,10.086,0.0014,240
44,0.4879,-1.65,0.2702,9.074,0.0018,256
45,0.4999,-1.5238,0.2322,8.125,0.0041,274
46,0.451,-1.0786,0.1867,7.516,0.0024,307
47,0.4635,-1.2278,0.2064,7.703,0.0019,260
48,0.4877,-1.8821,0.3017,12.0,0.0046,264
49,0.4939,-1.5165,0.2452,9.898,0.0064,279
50,0.4778,-1.5544,0.2513,8.844,0.0019,243
51,0.4859,-0.9775,0.1662,8.426,0.0045,256
52,0.496,-1.8714,0.3001,12.281,0.0037,253
53,0.4859,-2.2079,0.3621,13.398,0.0042,225
54,0.4955,-1.6365,0.2802,11.414,0.0084,213
55,0.5094,-1.5148,0.2259,8.801,0.012,206
