step,reward,loss,rev_kl,grad_norm,off_pol,tps
1,0.0586,0.0193,,2.854,1.5909,401
2,0.4602,-0.0009,,4.182,0.0942,326
3,0.6083,-0.0005,,3.908,0.0572,241
4,0.5762,0.0006,,3.28,0.0048,262
5,0.6606,0.0005,,2.817,0.0067,377
6,0.8173,-0.0002,,3.421,0.0272,367
7,0.6406,-0.0002,,2.675,0.0039,322
8,0.7393,-0.0008,,2.896,0.0024,383
9,0.765,-0.0002,,2.987,0.0069,416
10,0.6896,0.0004,,1.583,0.0033,473
11,0.6789,-0.0011,,2.528,0.0035,396
12,0.7487,0.0011,,1.791,0.0091,517
13,0.9155,0.0004,,2.466,0.0025,593
14,0.8552,-0.0005,,2.723,0.0053,533
15,0.9316,0.0001,,2.875,0.0072,509
16,0.6157,0.0005,,3.223,0.0159,562
17,0.8041,-0.0004,,2.745,0.0049,585
18,0.8477,-0.0008,,2.682,0.072,481
19,0.9255,-0.0003,,2.228,0.0209,518
20,0.8793,0.0002,,2.777,0.0091,528
21,1.0185,-0.0002,,1.763,0.004,559
22,0.6816,0.0001,,2.287,0.0025,483
23,0.9255,0.0003,,2.024,0.0061,559
24,0.7648,0.0003,,2.788,0.009,524
25,0.9412,0.0013,,2.776,0.0034,587
26,0.8907,0.0006,,2.979,0.0107,547
27,0.8134,0.0002,,1.097,0.0028,595
28,1.0669,0.0003,,2.692,0.0056,578
29,0.7515,0.0,,1.932,0.0023,557
30,0.7629,-0.0001,,1.797,0.0128,617
31,0.703,-0.0,,2.456,0.0121,559
32,1.219,0.0008,,2.201,0.0157,451
33,0.8348,0.0,,0.534,0.0028,619
34,0.6971,0.0004,,1.624,0.0061,609
35,0.9016,0.0002,,1.525,0.0021,609
36,1.1595,-0.0,,1.218,0.003,579
37,0.669,0.0004,,2.219,0.0019,526
38,0.7341,0.0,,1.278,0.0069,569
39,0.997,0.0001,,1.621,0.003,470
40,0.8495,0.0002,,2.855,0.0109,549
41,0.9371,-0.0,,1.67,0.0063,580
42,0.9795,0.0,,2.188,0.0019,606
43,0.8134,-0.0003,,2.389,0.0249,605
44,0.9002,-0.0001,,1.544,0.0035,596
45,0.8194,0.0004,,1.049,0.0013,602
46,1.0123,0.0001,,1.817,0.0039,593
47,0.9741,0.0003,,1.182,0.0022,639
48,1.1906,0.0003,,1.93,0.0147,607
49,1.0205,-0.0001,,1.01,0.0017,566
50,0.8941,-0.0,,2.082,0.0031,588
51,1.262,0.0001,,0.974,0.0011,657
52,0.941,0.0001,,1.314,0.0008,605
53,0.9015,0.0004,,1.555,0.0047,633
54,0.9848,0.0,,1.457,0.0017,564
55,1.0145,0.0005,,1.781,0.0061,546
56,0.8727,-0.0022,,2.355,0.0392,533
57,0.9371,-0.0001,,1.198,0.0009,632
58,1.005,0.0003,,1.323,0.0045,622
59,0.8881,-0.0002,,1.614,0.0079,619
60,1.2525,0.0,,1.291,0.0405,665
61,0.7128,0.0003,,1.894,0.0021,578
62,1.3084,-0.0001,,1.648,0.0067,596
63,0.7623,0.0002,,2.098,0.0085,625
64,1.0763,0.0006,,1.426,0.0037,650
65,0.8761,-0.0,,2.577,0.0134,542
66,0.8686,0.0001,,2.344,0.0107,615
67,0.6252,0.0001,,2.776,0.0306,587
68,0.8572,0.0007,,1.41,0.0076,586
69,0.7884,0.0004,,1.119,0.0107,666
70,0.9431,0.0001,,1.212,0.0189,682
71,0.9405,0.0002,,1.874,0.0707,606
72,0.9741,0.0004,,2.291,0.0059,616
73,0.9586,0.0002,,0.697,0.0104,633
74,1.0703,0.0002,,2.143,0.0238,642
75,1.0763,0.0013,,1.559,0.0214,555
76,1.1133,0.0001,,0.413,0.0044,652
77,1.1846,0.0013,,2.154,0.0563,610
78,0.9466,0.0019,,2.409,0.0235,646
79,1.3608,0.0,,0.469,0.0059,709
80,0.7369,0.0007,,3.031,0.0304,638
81,0.742,0.0001,,2.235,0.015,637
82,1.0823,0.0007,,1.623,0.0117,591
83,0.5908,0.0003,,1.702,0.0024,588
84,1.268,0.0001,,1.747,0.0072,634
85,1.237,0.0,,1.367,0.0108,690
86,0.767,0.0004,,2.981,0.0052,535
87,1.1382,0.0001,,1.487,0.0321,639
88,1.0179,0.0007,,1.512,0.0173,582
89,1.0359,0.0006,,1.367,0.009,613
90,1.0433,0.0007,,1.584,0.0167,606
91,0.9156,0.0011,,2.066,0.012,594
92,0.968,0.0004,,1.193,0.0086,593
93,1.262,0.0001,,0.513,0.0045,654
94,0.8967,0.0002,,0.515,0.0032,670
95,1.1887,-0.0002,,1.536,0.0311,586
96,1.0993,0.0002,,1.885,0.0083,635
97,1.0548,0.0002,,1.303,0.0025,530
98,1.3238,0.0,,1.405,0.0046,609
99,1.0703,-0.0004,,0.814,0.0009,624
100,1.0145,0.0003,,1.407,0.007,629
101,1.0529,0.0002,,1.974,0.0432,678
102,0.9904,-0.0,,1.603,0.0123,586
103,1.167,0.0003,,1.521,0.0231,648
104,1.3084,0.0009,,1.9,0.0235,664
105,0.9096,-0.0002,,2.594,0.017,553
106,1.0319,-0.0,,2.02,0.0337,668
107,1.0738,-0.0006,,2.453,0.0413,515
108,1.049,0.0011,,2.284,0.092,641
109,0.6896,0.0003,,2.168,0.0214,577
110,1.1597,0.0004,,0.898,0.0716,679
111,1.1133,0.0003,,1.554,0.0164,639
112,0.8728,0.001,,2.416,0.0051,583
113,0.9751,0.0003,,2.259,0.0045,618
114,1.1477,-0.0007,,1.882,0.0963,490
115,1.3891,-0.001,,1.613,0.0062,563
116,0.93,-0.0001,,3.258,0.0205,642
117,0.938,0.0008,,2.477,0.014,611
118,1.2284,-0.0005,,3.093,0.0094,617
119,0.7094,-0.0006,,4.31,0.0162,585
120,1.0527,0.0027,,1.62,0.0191,684
121,0.8443,0.0004,,2.906,0.0509,658
122,0.9526,0.002,,2.083,0.0208,696
123,0.9515,0.0013,,3.615,0.0629,501
124,1.1597,0.0003,,1.241,0.0063,643
125,0.6988,-0.0024,,5.756,0.0814,415
126,0.9264,-0.002,,5.988,0.0122,556
127,0.8699,0.0014,,4.166,0.0282,638
128,1.0302,-0.006,,3.566,0.0221,421
129,1.3084,-0.002,,3.28,0.0266,590
130,0.938,-0.0037,,5.444,0.0386,437
131,0.6829,-0.003,,7.285,0.0224,320
132,0.9009,-0.0038,,9.676,0.7197,366
133,0.7659,0.0027,,6.06,0.2216,528
134,1.2035,-0.0041,,3.939,0.0639,563
135,1.1526,-0.0018,,5.588,0.0546,547
136,0.7884,0.0007,,0.761,0.2157,663
137,0.8612,0.0023,,9.553,0.2518,427
138,0.7284,-0.0007,,11.508,0.0508,393
139,0.3597,-0.0041,,16.184,0.1454,295
140,0.6109,0.0044,,14.699,0.1575,380
141,0.433,-0.0168,,9.004,0.189,313
